author,auth_POB1,auth_POB2,personal.x,family.x,personal.y,family.y,gender
Abby  Norman,unknown,,Abby, Norman,NA,NA,female
Ada Palmer,unknown,,Ada,Palmer,Ada,Palmer,female
Agatha Christie,unknown,,Agatha,Christie,Agatha,Christie,female
Alexandra David-Néel,unknown,,Alexandra,David-Néel,Alexandra,David-Néel,female
Alexandra Gent,NA,NA,NA,NA,Alexandra,Gent,female
Alice Walker,unknown,,Alice,Walker,Alice,Walker,female
Alison Weir,unknown,,Alison,Weir,Alison,Weir,female
Alyssa Cole,unknown,,Alyssa,Cole,Alyssa,Cole,female
Amanda Montell,unknown,,Amanda,Montell,NA,NA,female
Aminatta Forna,Bellshill, United Kingdom,Aminatta,Forna,Aminatta,Forna,female
Amy Attorney Delpo,unknown,,Amy,Attorney Delpo,Amy,Attorney Delpo,female
Amy Tan,unknown,,Amy,Tan,Amy,Tan,female
Amy Thomson,unknown,,Amy,Thomson,Amy,Thomson,female
Angela Flournoy,unknown,,Angela,Flournoy,NA,NA,female
Angie Thomas,unknown,,Angie,Thomas,NA,NA,female
Anita Diamant,unknown,,Anita,Diamant,Anita,Diamant,female
Ann Leckie,unknown,,Ann,Leckie,NA,NA,female
Ann M. Martin,NA,NA,NA,NA,Ann,M. Martin,female
Ann Radcliffe,unknown,,Ann,Radcliffe,NA,NA,female
Ann Turner,unknown,,Ann,Turner,Ann,Turner,female
Anna Siewierska,unknown,,Anna,Siewierska,NA,NA,female
Anne  Meredith,NA,NA,NA,NA,Anne, Meredith,female
Anne Brontë,unknown,,Anne,Brontë,Anne,Brontë,female
Anne Fadiman,unknown,,Anne,Fadiman,Anne,Fadiman,female
Anne Frank,unknown,,Anne,Frank,Anne,Frank,female
Annelie Wendeberg,unknown,,Annelie,Wendeberg,Annelie,Wendeberg,female
Ariel Levy,unknown,,Ariel,Levy,Ariel,Levy,female
Asha Kanwar,NA,NA,NA,NA,Asha,Kanwar,female
Astrid Lindgren,unknown,,Astrid,Lindgren,Astrid,Lindgren,female
Attica Locke,unknown,,Attica,Locke,NA,NA,female
Audre Lorde,unknown,,Audre,Lorde,NA,NA,female
Audrey Niffenegger,unknown,,Audrey,Niffenegger,Audrey,Niffenegger,female
Ayaan Hirsi Ali,unknown,,Ayaan,Hirsi Ali,Ayaan,Hirsi Ali,female
Ayn Rand,unknown,,Ayn,Rand,Ayn,Rand,female
Barbara Dancygier,unknown,,Barbara,Dancygier,NA,NA,female
Barbara Ehrenreich,unknown,,Barbara,Ehrenreich,Barbara,Ehrenreich,female
Barbara Graymont,unknown,,Barbara,Graymont,NA,NA,female
Barbara Haber,unknown,,Barbara,Haber,Barbara,Haber,female
Barbara Kingsolver,unknown,,Barbara,Kingsolver,Barbara,Kingsolver,female
Barbara Vine,unknown,,Barbara,Vine,NA,NA,female
Basma Abdel Aziz,unknown,,Basma,Abdel Aziz,Basma,Abdel Aziz,female
Beth Seidel Levine,unknown,,Beth,Seidel Levine,Beth,Seidel Levine,female
Betty  Smith,unknown,,Betty, Smith,Betty, Smith,female
Blu Greenberg,unknown,,Blu,Greenberg,Blu,Greenberg,female
Brenda Fowler,unknown,,Brenda,Fowler,Brenda,Fowler,female
Carol  Anderson,unknown,,Carol, Anderson,Carol, Anderson,female
Carol Ann Rinzler,unknown,,Carol,Ann Rinzler,Carol,Ann Rinzler,female
Caroline Criado Perez,NA,NA,NA,NA,Caroline,Criado Perez,female
Caroline Criado-Pérez,unknown,,Caroline,Criado-Pérez,NA,NA,female
Carolyn McCarthy,unknown,,Carolyn,McCarthy,Carolyn,McCarthy,female
Carolyn Meyer,NA,NA,NA,NA,Carolyn,Meyer,female
Catharine Maria Sedgwick,unknown,,Catharine,Maria Sedgwick,NA,NA,female
Celia Lowenthal,NA,NA,NA,NA,Celia,Lowenthal,female
Charlotte Brontë,unknown,,Charlotte,Brontë,Charlotte,Brontë,female
Charlotte E. Fonrobert,unknown,,Charlotte,E. Fonrobert,Charlotte,E. Fonrobert,female
Chimamanda Ngozi Adichie,unknown,,Chimamanda,Ngozi Adichie,Chimamanda,Ngozi Adichie,female
Christina Dalcher,unknown,,Christina,Dalcher,Christina,Dalcher,female
Claudia Rankine,unknown,,Claudia,Rankine,NA,NA,female
Clemantine Wamariya,Kigali, Rwanda,Clemantine,Wamariya,NA,NA,female
Colleen McCullough,unknown,,Colleen,McCullough,Colleen,McCullough,female
Conceição Evaristo,NA,NA,NA,NA,Conceição,Evaristo,female
Connie Rose Porter,unknown,,Connie,Rose Porter,Connie,Rose Porter,female
Connie Willis,unknown,,Connie,Willis,Connie,Willis,female
Corrie ten Boom,unknown,,Corrie,ten Boom,Corrie,ten Boom,female
Crystal S. Chan,NA,NA,NA,NA,Crystal,S. Chan,female
Cynthia Leitich Smith,unknown,,Cynthia,Leitich Smith,NA,NA,female
Danielle Corsetto,unknown,,Danielle,Corsetto,Danielle,Corsetto,female
Danielle Ofri,unknown,,Danielle,Ofri,Danielle,Ofri,female
Danielle Teller,unknown,,Danielle,Teller,Danielle,Teller,female
Debbie Dadey,NA,NA,NA,NA,Debbie,Dadey,female
Diana Wynne Jones,NA,NA,NA,NA,Diana,Wynne Jones,female
Diane Ravitch,unknown,,Diane,Ravitch,Diane,Ravitch,female
Dorothy Gilman,unknown,,Dorothy,Gilman,NA,NA,female
Dorothy L. Sayers,unknown,,Dorothy,L. Sayers,NA,NA,female
E. Nesbit,unknown,,E.,Nesbit,E.,Nesbit,female
Ebony Elizabeth Thomas,NA,NA,NA,NA,Ebony,Elizabeth Thomas,female
Eden Robinson,unknown,,Eden,Robinson,NA,NA,female
Edith Holden,NA,NA,NA,NA,Edith,Holden,female
Eleanor Sleath,unknown,,Eleanor,Sleath,NA,NA,female
Eleanor Taylor Bland,unknown,,Eleanor,Taylor Bland,NA,NA,female
Eliza Parsons,unknown,,Eliza,Parsons,NA,NA,female
Elizabeth  Little,unknown,,Elizabeth, Little,Elizabeth, Little,female
Elizabeth Gaskell,unknown,,Elizabeth,Gaskell,NA,NA,female
Ellen Banda-Aaku,NA,NA,NA,NA,Ellen,Banda-Aaku,female
Ellen Emerson White,unknown,,Ellen,Emerson White,Ellen,Emerson White,female
Ellen Wilkinson,NA,NA,NA,NA,Ellen,Wilkinson,female
Emily Brontë,unknown,,Emily,Brontë,Emily,Brontë,female
Emily Nussbaum,United States,,Emily,Nussbaum,Emily,Nussbaum,female
Emma Donoghue,unknown,,Emma,Donoghue,Emma,Donoghue,female
Erin Meyer,unknown,,Erin,Meyer,Erin,Meyer,female
Erin Pizzey,unknown,,Erin,Pizzey,NA,NA,female
Esi Edugyan,Calgary, Canada,Esi,Edugyan,Esi,Edugyan,female
Esosa Kolawole,NA,NA,NA,NA,Esosa,Kolawole,female
Faith Erin Hicks,NA,NA,NA,NA,Faith,Erin Hicks,female
Flann O'Brien,NA,NA,NA,NA,Flann,O'Brien,female
Flora Annie Steel,unknown,,Flora,Annie Steel,Flora,Annie Steel,female
George Eliot,unknown,,George,Eliot,NA,NA,female
Gloria Naylor,NA,NA,NA,NA,Gloria,Naylor,female
Grace L. Dillon,unknown,,Grace,L. Dillon,Grace,L. Dillon,female
Gretchen McCulloch,NA,NA,NA,NA,Gretchen,McCulloch,female
Harper Lee,unknown,,Harper,Lee,Harper,Lee,female
Harriet A. Washington,unknown,,Harriet,A. Washington,Harriet,A. Washington,female
Harriet Ann Jacobs,unknown,,Harriet,Ann Jacobs,Harriet,Ann Jacobs,female
Harriet Beecher Stowe,unknown,,Harriet,Beecher Stowe,Harriet,Beecher Stowe,female
Harriet Lerner,unknown,,Harriet,Lerner,Harriet,Lerner,female
Hawa Abdi,NA,NA,NA,NA,Hawa,Abdi,female
Hazel Harrison,unknown,,Hazel,Harrison,Hazel,Harrison,female
Helen Oyeyemi,unknown,,Helen,Oyeyemi,Helen,Oyeyemi,female
Helene Wecker,unknown,,Helene,Wecker,Helene,Wecker,female
Hope Nicholson,Winnipeg, Canada,Hope,Nicholson,Hope,Nicholson,female
Ijeoma Oluo,unknown,,Ijeoma,Oluo,Ijeoma,Oluo,female
Imbolo Mbue,Limbe, Cameroon,Imbolo,Mbue,Imbolo,Mbue,female
Irene Duke,unknown,,Irene,Duke,Irene,Duke,female
Isabel Greenberg,unknown,,Isabel,Greenberg,Isabel,Greenberg,female
J.K. Rowling,unknown,,J.K.,Rowling,J.K.,Rowling,female
Jacqueline Woodson,unknown,,Jacqueline,Woodson,NA,NA,female
Jane Austen,unknown,,Jane,Austen,Jane,Austen,female
Jane Davenport,unknown,,Jane,Davenport,Jane,Davenport,female
Jane Smiley,unknown,,Jane,Smiley,NA,NA,female
Janet Beeler Shaw,unknown,,Janet,Beeler Shaw,Janet,Beeler Shaw,female
Janet Campbell Hale,Riverside, CA,Janet,Campbell Hale,NA,NA,female
Jasmine Guillory,unknown,,Jasmine,Guillory,NA,NA,female
Jeanne Wakatsuki Houston,unknown,,Jeanne,Wakatsuki Houston,Jeanne,Wakatsuki Houston,female
Jennifer Clement,unknown,,Jennifer,Clement,Jennifer,Clement,female
Jennifer Nansubuga Makumbi,unknown,,Jennifer,Nansubuga Makumbi,Jennifer,Nansubuga Makumbi,female
Jennifer Worth,unknown,,Jennifer,Worth,Jennifer,Worth,female
Jesmyn Ward,unknown,,Jesmyn,Ward,NA,NA,female
Jessa Crispin,unknown,,Jessa,Crispin,Jessa,Crispin,female
Jessica Shattuck,unknown,,Jessica,Shattuck,Jessica,Shattuck,female
Joy Harjo,Tulsa, OK,Joy,Harjo,NA,NA,female
Joyce Hansen,unknown,,Joyce,Hansen,Joyce,Hansen,female
Judith Flanders,unknown,,Judith,Flanders,Judith,Flanders,female
Judith Plaskow,unknown,,Judith,Plaskow,Judith,Plaskow,female
Judith R. Baskin,unknown,,Judith,R. Baskin,Judith,R. Baskin,female
Julia Serano,unknown,,Julia,Serano,Julia,Serano,female
K.A. Applegate,NA,NA,NA,NA,K.A.,Applegate,female
Kaitlyn Greenidge,unknown,,Kaitlyn,Greenidge,NA,NA,female
